nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online-d/model is already exist!
=========================== finish pre train! ===========================
EP:321 reward:692.20884971394 avg_reward:692.2088497139398 time_step321
EP:322 reward:692.20884971394 avg_reward:692.2088497139398 time_step322
EP:323 reward:692.20884971394 avg_reward:692.2088497139398 time_step323
EP:324 reward:692.20884971394 avg_reward:692.2088497139398 time_step324
EP:325 reward:692.20884971394 avg_reward:692.2088497139398 time_step325
EP:326 reward:692.20884971394 avg_reward:692.2088497139398 time_step326
EP:327 reward:692.20884971394 avg_reward:692.2088497139398 time_step327
EP:328 reward:692.20884971394 avg_reward:692.2088497139398 time_step328
EP:329 reward:692.20884971394 avg_reward:692.2088497139398 time_step329
EP:330 reward:692.20884971394 avg_reward:692.2088497139398 time_step330
EP:331 reward:692.20884971394 avg_reward:692.2088497139398 time_step331
EP:332 reward:692.20884971394 avg_reward:692.2088497139398 time_step332
EP:333 reward:692.20884971394 avg_reward:692.2088497139398 time_step333
EP:334 reward:692.20884971394 avg_reward:692.2088497139398 time_step334
EP:335 reward:692.20884971394 avg_reward:692.2088497139398 time_step335
EP:336 reward:692.20884971394 avg_reward:692.2088497139398 time_step336
EP:337 reward:692.20884971394 avg_reward:692.2088497139398 time_step337
EP:338 reward:692.20884971394 avg_reward:692.2088497139398 time_step338
EP:339 reward:692.20884971394 avg_reward:692.2088497139398 time_step339
EP:340 reward:692.20884971394 avg_reward:692.2088497139398 time_step340
EP:341 reward:692.20884971394 avg_reward:692.2088497139398 time_step341
EP:342 reward:692.20884971394 avg_reward:692.2088497139398 time_step342
EP:343 reward:692.20884971394 avg_reward:692.2088497139398 time_step343
EP:344 reward:692.20884971394 avg_reward:692.2088497139398 time_step344
EP:345 reward:692.20884971394 avg_reward:692.2088497139398 time_step345
EP:346 reward:692.20884971394 avg_reward:692.2088497139398 time_step346
EP:347 reward:692.20884971394 avg_reward:692.2088497139398 time_step347
EP:348 reward:692.20884971394 avg_reward:692.2088497139398 time_step348
EP:349 reward:692.20884971394 avg_reward:692.2088497139398 time_step349
EP:350 reward:692.20884971394 avg_reward:692.2088497139398 time_step350
EP:351 reward:692.20884971394 avg_reward:692.2088497139398 time_step351
EP:352 reward:692.20884971394 avg_reward:692.2088497139398 time_step352
EP:353 reward:692.20884971394 avg_reward:692.2088497139398 time_step353
EP:354 reward:692.20884971394 avg_reward:692.2088497139398 time_step354
EP:355 reward:692.20884971394 avg_reward:692.2088497139398 time_step355
EP:356 reward:692.20884971394 avg_reward:692.2088497139398 time_step356
EP:357 reward:692.20884971394 avg_reward:692.2088497139398 time_step357
EP:358 reward:692.20884971394 avg_reward:692.2088497139398 time_step358
EP:359 reward:692.20884971394 avg_reward:692.2088497139398 time_step359
EP:360 reward:692.20884971394 avg_reward:692.2088497139398 time_step360
EP:361 reward:692.20884971394 avg_reward:692.2088497139398 time_step361
EP:362 reward:692.20884971394 avg_reward:692.2088497139398 time_step362
EP:363 reward:692.20884971394 avg_reward:692.2088497139398 time_step363
EP:364 reward:692.20884971394 avg_reward:692.2088497139398 time_step364
EP:365 reward:692.20884971394 avg_reward:692.2088497139398 time_step365
EP:366 reward:692.20884971394 avg_reward:692.2088497139398 time_step366
EP:367 reward:692.20884971394 avg_reward:692.2088497139398 time_step367
EP:368 reward:692.20884971394 avg_reward:692.2088497139398 time_step368
EP:369 reward:692.20884971394 avg_reward:692.2088497139398 time_step369
EP:370 reward:692.20884971394 avg_reward:692.2088497139398 time_step370
