nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online-c/model create successfully!
=========================== finish pre train! ===========================
EP:298 reward:741.9104314850664 avg_reward:737.6181678305584 time_step298
EP:299 reward:741.9104314850664 avg_reward:738.2884945824176 time_step299
EP:300 reward:741.9104314850664 avg_reward:738.9580241536536 time_step300
EP:301 reward:741.9104314850664 avg_reward:739.6286573545798 time_step301
EP:302 reward:741.9104314850664 avg_reward:739.5411355202629 time_step302
EP:303 reward:741.9104314850664 avg_reward:740.2117687211892 time_step303
EP:304 reward:741.9104314850664 avg_reward:740.1242468868725 time_step304
EP:305 reward:741.9104314850664 avg_reward:740.7948800877986 time_step305
EP:306 reward:741.9104314850664 avg_reward:740.7073582534817 time_step306
EP:307 reward:741.9104314850664 avg_reward:741.3779914544081 time_step307
EP:308 reward:741.9104314850664 avg_reward:741.2904696200911 time_step308
EP:309 reward:741.9104314850664 avg_reward:741.2025577050548 time_step309
EP:310 reward:741.9104314850664 avg_reward:741.8738562310912 time_step310
EP:311 reward:741.9104314850664 avg_reward:741.7863343967745 time_step311
EP:312 reward:741.9104314850664 avg_reward:741.6984224817378 time_step312
EP:313 reward:741.9104314850664 avg_reward:741.9104314850665 time_step313
EP:314 reward:741.9104314850664 avg_reward:741.9104314850665 time_step314
EP:315 reward:741.9104314850664 avg_reward:741.9104314850665 time_step315
EP:316 reward:741.9104314850664 avg_reward:741.9104314850665 time_step316
EP:317 reward:741.9104314850664 avg_reward:741.9104314850665 time_step317
EP:318 reward:741.9104314850664 avg_reward:741.9104314850665 time_step318
EP:319 reward:741.9104314850664 avg_reward:741.9104314850665 time_step319
EP:320 reward:741.9104314850664 avg_reward:741.9104314850665 time_step320
EP:321 reward:741.9104314850664 avg_reward:741.9104314850665 time_step321
EP:322 reward:741.9104314850664 avg_reward:741.9104314850665 time_step322
EP:323 reward:741.9104314850664 avg_reward:741.9104314850665 time_step323
EP:324 reward:741.9104314850664 avg_reward:741.9104314850665 time_step324
EP:325 reward:741.9104314850664 avg_reward:741.9104314850665 time_step325
EP:326 reward:741.9104314850664 avg_reward:741.9104314850665 time_step326
EP:327 reward:741.9104314850664 avg_reward:741.9104314850665 time_step327
EP:328 reward:741.9104314850664 avg_reward:741.9104314850665 time_step328
EP:329 reward:741.9104314850664 avg_reward:741.9104314850665 time_step329
EP:330 reward:741.9104314850664 avg_reward:741.9104314850665 time_step330
EP:331 reward:741.9104314850664 avg_reward:741.9104314850665 time_step331
EP:332 reward:741.9104314850664 avg_reward:741.9104314850665 time_step332
EP:333 reward:741.9104314850664 avg_reward:741.9104314850665 time_step333
EP:334 reward:741.9104314850664 avg_reward:741.9104314850665 time_step334
EP:335 reward:741.9104314850664 avg_reward:741.9104314850665 time_step335
EP:336 reward:741.9104314850664 avg_reward:741.9104314850665 time_step336
EP:337 reward:741.9104314850664 avg_reward:741.9104314850665 time_step337
EP:338 reward:741.9104314850664 avg_reward:741.9104314850665 time_step338
EP:339 reward:741.9104314850664 avg_reward:741.9104314850665 time_step339
EP:340 reward:741.9104314850664 avg_reward:741.9104314850665 time_step340
EP:341 reward:741.9104314850664 avg_reward:741.9104314850665 time_step341
