nohup: ignoring input
=========================== finish pre train! ===========================
EP:250 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12500
EP:251 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12550
EP:252 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12600
EP:253 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12650
EP:254 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12700
EP:255 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12750
EP:256 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12800
EP:257 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12850
EP:258 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12900
EP:259 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12950
EP:260 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13000
EP:261 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13050
EP:262 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13100
EP:263 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13150
EP:264 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13200
EP:265 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13250
EP:266 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13300
EP:267 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13350
EP:268 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13400
EP:269 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13450
EP:270 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13500
EP:271 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13550
EP:272 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13600
EP:273 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13650
EP:274 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13700
EP:275 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13750
EP:276 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13800
